epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1541,2.24799,6.25247,2.32388,0.00154,0.8209,0.00826,0.00221,2.1484,19.0667,2.25007,0.00065873,0.00065873,0.00065873
2,24.2763,2.42088,4.54618,2.49847,0.08305,0.13433,0.03613,0.00907,1.89928,28.256,2.54876,0.00131228,0.00131228,0.00131228
3,36.3554,2.44102,4.15192,2.61926,0.0012,0.64179,0.00768,0.00138,2.43464,11.3447,2.63874,0.00195262,0.00195262,0.00195262
4,48.4195,2.37618,3.62202,2.55192,0.02106,0.14925,0.01546,0.00402,2.02219,13.6223,2.12644,0.0019406,0.0019406,0.0019406
5,60.5275,2.41125,3.63013,2.56001,0.00145,0.76119,0.01461,0.00284,2.22073,7.22549,2.10459,0.0019208,0.0019208,0.0019208
6,72.6286,2.3741,3.33628,2.51655,0.06134,0.22388,0.0557,0.01513,1.91635,5.72198,2.0701,0.001901,0.001901,0.001901
7,84.7097,2.39064,3.25119,2.52751,0.02704,0.38806,0.01797,0.00433,1.97205,14.1369,2.04919,0.0018812,0.0018812,0.0018812
8,96.8219,2.29727,3.1245,2.40985,0.03232,0.29851,0.02134,0.00622,1.98137,9.16577,2.00574,0.0018614,0.0018614,0.0018614
9,108.896,2.2309,3.15185,2.3721,0.08533,0.0597,0.07292,0.023,2.04392,5.29219,2.13692,0.0018416,0.0018416,0.0018416
10,121.002,2.30201,3.13419,2.39085,0.14234,0.0719,0.06666,0.02148,1.98811,14.5708,2.10515,0.0018218,0.0018218,0.0018218
11,133.108,2.24518,3.15299,2.41109,0.07348,0.38806,0.08937,0.02603,1.80476,7.87085,1.99049,0.001802,0.001802,0.001802
12,145.178,2.22311,2.95856,2.38688,0.11049,0.29851,0.09229,0.02889,1.82723,6.84981,1.9635,0.0017822,0.0017822,0.0017822
13,157.24,2.27165,2.98902,2.37954,0.18804,0.25373,0.12708,0.04607,1.86996,4.46375,1.98254,0.0017624,0.0017624,0.0017624
14,169.283,2.16195,3.17177,2.29602,0.08854,0.1194,0.06342,0.01623,1.86039,3.59475,2.0412,0.0017426,0.0017426,0.0017426
15,181.338,2.18414,2.90214,2.30529,0.10675,0.1791,0.08997,0.02558,1.95338,4.90722,2.03828,0.0017228,0.0017228,0.0017228
16,193.425,2.15027,2.93481,2.29264,0.20868,0.20896,0.12934,0.0453,1.80063,3.09958,1.86853,0.001703,0.001703,0.001703
17,205.505,2.20474,2.88264,2.3051,0.09099,0.1791,0.07639,0.02299,1.85785,6.67531,2.03454,0.0016832,0.0016832,0.0016832
18,217.604,2.08704,2.87897,2.24359,0.14754,0.34328,0.16065,0.05082,1.85733,3.20608,1.91781,0.0016634,0.0016634,0.0016634
19,229.65,2.1138,2.71276,2.23089,0.17121,0.23881,0.12178,0.03657,1.85862,3.16568,1.94665,0.0016436,0.0016436,0.0016436
