epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1449,2.26528,6.16497,2.29139,0.00164,0.87879,0.03876,0.00919,2.06209,16.657,2.31857,0.00065873,0.00065873,0.00065873
2,24.2477,2.37788,5.21573,2.40445,0.00116,0.62121,0.00308,0.00086,2.29797,13.0255,2.67689,0.00131228,0.00131228,0.00131228
3,36.3557,2.44622,4.07309,2.48835,0.05134,0.07576,0.01045,0.0024,2.64043,9.04752,2.67442,0.00195262,0.00195262,0.00195262
4,48.5113,2.40297,3.98117,2.43951,0.00099,0.5303,0.01581,0.00413,2.44443,11.1945,2.55079,0.0019406,0.0019406,0.0019406
5,60.6049,2.51767,3.80736,2.52735,0.00113,0.60606,0.00247,0.00056,2.37387,8.86367,2.39749,0.0019208,0.0019208,0.0019208
6,72.7563,2.50027,3.68769,2.45742,0.00093,0.5,0.00088,0.00025,2.36268,24.7157,2.42268,0.001901,0.001901,0.001901
7,84.8746,2.42781,3.70086,2.44135,0.00193,0.78788,0.02346,0.00615,2.1993,6.56327,2.17662,0.0018812,0.0018812,0.0018812
8,96.988,2.37456,3.55228,2.37674,0.00246,0.4697,0.00716,0.00136,2.3324,4.54689,2.30219,0.0018614,0.0018614,0.0018614
9,109.107,2.43499,3.49376,2.41263,0.0029,0.87879,0.05905,0.01704,2.00716,4.11275,2.05678,0.0018416,0.0018416,0.0018416
10,121.192,2.3053,3.36961,2.38106,0.00268,0.80303,0.05158,0.01224,2.05085,4.78128,2.10822,0.0018218,0.0018218,0.0018218
11,133.305,2.33159,3.44289,2.36562,0.00569,0.83333,0.05082,0.01623,1.95266,3.6635,2.01456,0.001802,0.001802,0.001802
12,145.413,2.30472,3.3424,2.35749,0.00234,0.80303,0.04682,0.0137,1.96864,5.1865,2.05139,0.0017822,0.0017822,0.0017822
13,157.505,2.3275,3.36385,2.33759,0.00256,0.86364,0.03692,0.00949,1.99944,6.76504,2.08861,0.0017624,0.0017624,0.0017624
14,169.618,2.24019,3.35845,2.30177,0.00574,0.74242,0.02844,0.00871,2.0721,3.25192,2.08439,0.0017426,0.0017426,0.0017426
15,181.684,2.27256,3.26187,2.301,0.00983,0.78788,0.05212,0.01446,1.89328,4.52898,2.01003,0.0017228,0.0017228,0.0017228
16,193.789,2.29398,3.20327,2.30532,0.00874,0.72727,0.07115,0.02109,1.92913,3.02715,2.00613,0.001703,0.001703,0.001703
17,205.914,2.24746,3.09551,2.22857,0.00563,0.84848,0.08801,0.02233,2.0478,3.32858,2.08552,0.0016832,0.0016832,0.0016832
18,218.027,2.28752,3.12188,2.24025,0.00865,0.66667,0.09009,0.02882,1.93545,2.98132,1.98344,0.0016634,0.0016634,0.0016634
19,230.154,2.25094,3.1181,2.22939,0.02757,0.0303,0.07722,0.02084,1.94412,3.27561,2.02694,0.0016436,0.0016436,0.0016436
20,242.257,2.21973,3.0495,2.22582,0.02002,0.71212,0.10405,0.02735,1.89692,2.85913,1.97363,0.0016238,0.0016238,0.0016238
21,254.337,2.18737,3.10254,2.21753,0.00559,0.86364,0.09723,0.02889,1.99271,3.19515,2.03566,0.001604,0.001604,0.001604
22,266.426,2.21836,3.15841,2.25448,0.00962,0.78788,0.13057,0.04106,1.88573,2.82602,1.96269,0.0015842,0.0015842,0.0015842
23,278.48,2.0893,3.2628,2.1532,0.06845,0.21212,0.06651,0.01887,1.99293,3.27723,2.01013,0.0015644,0.0015644,0.0015644
24,290.596,2.15311,2.97639,2.24755,0.00753,0.75758,0.1752,0.04784,1.91022,2.75293,1.99611,0.0015446,0.0015446,0.0015446
