epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2738,2.2655,5.23142,2.3088,0.00164,0.73418,0.02205,0.00557,2.42439,10.5014,2.94662,0.00065873,0.00065873,0.00065873
2,24.4589,2.36132,4.46473,2.55056,0.00141,0.63291,0.0036,0.00085,2.66277,8.86845,3.05733,0.00131228,0.00131228,0.00131228
3,36.6026,2.47939,4.34038,2.52361,0.00084,0.36709,0.00191,0.00046,3.32785,8.1604,4.16076,0.00195262,0.00195262,0.00195262
4,48.7772,2.47917,3.81745,2.51439,0.00131,0.58228,0.00419,0.00101,2.63371,9.63983,2.83604,0.0019406,0.0019406,0.0019406
5,60.9489,2.4989,3.70195,2.61676,0.0007,0.1519,0.001,0.00018,3.75615,5.38406,7.75605,0.0019208,0.0019208,0.0019208
6,73.125,2.45501,3.54389,2.55879,0.00166,0.73418,0.01167,0.0036,2.36909,10.7588,2.40919,0.001901,0.001901,0.001901
7,85.3077,2.37883,3.42284,2.40273,0.00674,0.58228,0.01808,0.00441,2.20862,8.69332,2.33453,0.0018812,0.0018812,0.0018812
8,97.4931,2.4019,3.36549,2.41063,0.00576,0.56962,0.01258,0.00291,2.16914,4.03862,2.27914,0.0018614,0.0018614,0.0018614
9,109.649,2.37474,3.39854,2.37483,0.02154,0.48101,0.03933,0.01073,2.21155,4.08901,2.2228,0.0018416,0.0018416,0.0018416
10,121.851,2.27254,3.40269,2.33008,0.01006,0.5443,0.02322,0.00529,2.54434,5.72218,2.51326,0.0018218,0.0018218,0.0018218
11,133.98,2.30802,3.42408,2.33208,0.00953,0.60759,0.02264,0.00664,2.18589,3.59685,2.22196,0.001802,0.001802,0.001802
12,146.1,2.29742,3.2366,2.33301,0.00688,0.70886,0.03411,0.01074,2.15344,3.63765,2.26112,0.0017822,0.0017822,0.0017822
13,158.213,2.24741,3.18529,2.31191,0.00599,0.6962,0.02246,0.00551,2.23662,4.6172,2.36516,0.0017624,0.0017624,0.0017624
