epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2891,2.20195,6.19556,2.27789,0.00147,0.83871,0.01225,0.00327,2.30754,13.7537,2.36502,0.00065873,0.00065873,0.00065873
2,24.3927,2.29194,4.67526,2.46485,0.00141,0.80645,0.00629,0.0016,2.18423,13.3829,2.22963,0.00131228,0.00131228,0.00131228
3,36.4609,2.4231,4.22191,2.61595,0.00085,0.48387,0.0007,0.00019,2.93333,16.5327,2.96681,0.00195262,0.00195262,0.00195262
4,48.5165,2.43753,3.96467,2.58966,0.02118,0.08065,0.01446,0.00417,2.18855,10.8405,2.42659,0.0019406,0.0019406,0.0019406
5,60.6402,2.41679,3.80063,2.50219,0.00268,0.67742,0.00441,0.00123,2.21479,12.1338,2.79202,0.0019208,0.0019208,0.0019208
6,72.6881,2.32465,3.67203,2.49591,0.00888,0.09677,0.00488,0.00149,2.29931,12.175,2.32763,0.001901,0.001901,0.001901
7,84.7414,2.38321,3.43221,2.53527,0.00147,0.82258,0.00719,0.00181,2.56934,9.35992,2.63326,0.0018812,0.0018812,0.0018812
8,96.7699,2.35082,3.41784,2.47994,0.00296,0.87097,0.02849,0.00696,2.2973,5.11117,2.35677,0.0018614,0.0018614,0.0018614
9,108.852,2.30985,3.30705,2.44673,0.0287,0.32258,0.03244,0.00961,2.04607,3.89091,2.16693,0.0018416,0.0018416,0.0018416
10,120.914,2.24908,3.28938,2.34496,0.01418,0.58065,0.03997,0.01165,2.16821,4.02269,2.34615,0.0018218,0.0018218,0.0018218
11,132.979,2.22471,3.25386,2.35627,0.04303,0.29032,0.06813,0.01655,2.05499,3.68117,2.0146,0.001802,0.001802,0.001802
12,145.076,2.21897,3.1706,2.31255,0.03802,0.6129,0.08458,0.02593,2.04796,5.06506,2.1005,0.0017822,0.0017822,0.0017822
13,157.126,2.23514,3.17899,2.28831,0.05518,0.43548,0.06331,0.01754,2.14175,3.77434,2.0821,0.0017624,0.0017624,0.0017624
14,169.163,2.22943,3.09165,2.28113,0.03747,0.45161,0.04481,0.01528,2.01187,3.64408,2.09769,0.0017426,0.0017426,0.0017426
15,181.236,2.19897,3.09056,2.29167,0.05174,0.40323,0.07293,0.01911,2.12491,3.51063,2.1449,0.0017228,0.0017228,0.0017228
16,193.297,2.20759,3.04933,2.28364,0.06913,0.06452,0.08293,0.0235,1.99222,5.168,2.05881,0.001703,0.001703,0.001703
17,205.381,2.15418,3.00815,2.21366,0.02824,0.69355,0.10792,0.03243,1.96638,3.73071,1.94324,0.0016832,0.0016832,0.0016832
18,217.51,2.16637,2.96543,2.24362,0.06828,0.45161,0.10935,0.04004,2.20046,3.50749,2.21326,0.0016634,0.0016634,0.0016634
19,229.548,2.14183,2.86012,2.24244,0.16041,0.19355,0.09224,0.02879,1.99934,3.07314,2.04875,0.0016436,0.0016436,0.0016436
20,241.585,2.1847,2.84543,2.27439,0.15997,0.3871,0.12775,0.03927,2.11841,3.26799,2.0768,0.0016238,0.0016238,0.0016238
21,253.622,2.11058,2.80527,2.16268,0.04709,0.43548,0.09438,0.02298,2.14165,5.32426,2.18568,0.001604,0.001604,0.001604
22,265.654,2.13982,2.88031,2.2552,0.134,0.31946,0.1098,0.02923,2.04405,3.06949,2.07559,0.0015842,0.0015842,0.0015842
23,277.688,2.10909,2.85102,2.23582,0.13627,0.33871,0.11684,0.04241,1.99944,2.76964,2.13544,0.0015644,0.0015644,0.0015644
24,289.733,2.14163,2.85338,2.23959,0.20871,0.16129,0.12555,0.04532,2.15001,2.90834,2.07911,0.0015446,0.0015446,0.0015446
25,301.798,2.07627,2.72269,2.16837,0.16686,0.43548,0.16315,0.05745,1.97413,2.68667,1.92167,0.0015248,0.0015248,0.0015248
26,313.9,2.12338,2.77847,2.15544,0.10228,0.3871,0.10745,0.03777,2.1123,4.2861,2.13332,0.001505,0.001505,0.001505
27,325.937,2.0776,2.71648,2.17382,0.17122,0.27419,0.12376,0.03694,2.04436,2.72544,2.02195,0.0014852,0.0014852,0.0014852
28,338.025,2.05016,2.76629,2.14945,0.10666,0.45161,0.13711,0.03937,2.12408,3.18509,2.21079,0.0014654,0.0014654,0.0014654
29,350.051,2.09772,2.67846,2.17155,0.18213,0.24194,0.15149,0.05352,2.0691,2.7631,1.89138,0.0014456,0.0014456,0.0014456
30,362.133,2.05291,2.61947,2.16129,0.15133,0.33871,0.14311,0.05448,1.98102,2.94166,1.95609,0.0014258,0.0014258,0.0014258
31,374.187,2.01876,2.72699,2.12577,0.1161,0.35484,0.13314,0.03854,2.17435,3.03088,2.13905,0.001406,0.001406,0.001406
32,386.227,2.09421,2.77033,2.15141,0.13506,0.32258,0.10518,0.03414,2.06375,2.90256,2.08804,0.0013862,0.0013862,0.0013862
33,398.272,2.02528,2.5638,2.07345,0.13025,0.41935,0.14621,0.04831,2.07364,2.62669,1.97752,0.0013664,0.0013664,0.0013664
34,410.396,2.04415,2.6143,2.11673,0.126,0.41935,0.14089,0.04641,1.99097,2.7428,2.00712,0.0013466,0.0013466,0.0013466
35,422.477,1.97271,2.56301,2.08248,0.12209,0.35484,0.13921,0.04365,2.23245,2.79059,2.23989,0.0013268,0.0013268,0.0013268
36,434.511,2.04695,2.57115,2.13517,0.12574,0.37097,0.14853,0.05726,1.97978,3.22866,2.09007,0.001307,0.001307,0.001307
37,446.598,1.95497,2.55682,2.07216,0.19648,0.32258,0.18241,0.07921,2.09396,2.55519,2.15208,0.0012872,0.0012872,0.0012872
38,458.725,2.01476,2.5371,2.08635,0.2351,0.45161,0.22028,0.05993,2.02468,4.50432,2.10729,0.0012674,0.0012674,0.0012674
39,470.85,1.9441,2.50604,2.02315,0.1959,0.27419,0.14161,0.05089,2.01378,2.73462,2.09686,0.0012476,0.0012476,0.0012476
40,482.947,1.93181,2.52723,2.0175,0.24387,0.30645,0.16848,0.05194,1.96805,2.58211,2.05482,0.0012278,0.0012278,0.0012278
41,495.075,1.91488,2.42478,2.0155,0.22522,0.33871,0.21993,0.06213,2.09417,2.35638,1.99744,0.001208,0.001208,0.001208
42,507.249,1.92122,2.58153,1.98552,0.28869,0.29032,0.24686,0.09326,2.18065,2.38807,2.15457,0.0011882,0.0011882,0.0011882
43,519.431,1.99157,2.52252,2.08745,0.2094,0.27419,0.20234,0.05972,2.13865,2.65944,2.21796,0.0011684,0.0011684,0.0011684
44,531.485,1.93406,2.37795,2.01573,0.24074,0.29032,0.20152,0.06386,2.2509,2.8375,2.12568,0.0011486,0.0011486,0.0011486
45,543.539,1.93233,2.38939,2.00169,0.20974,0.29541,0.17052,0.05853,1.99213,2.97028,2.10572,0.0011288,0.0011288,0.0011288
