epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7912,2.42005,6.79551,2.43388,0.0017,0.81944,0.00761,0.00176,2.08827,15.833,2.14426,0.00065873,0.00065873,0.00065873
2,24.7608,2.46245,4.91729,2.47064,0.00103,0.5,0.00135,0.00028,2.78583,13.5576,3.70483,0.00131228,0.00131228,0.00131228
3,36.7051,2.43143,4.24617,2.51078,0.00112,0.54167,0.00149,0.00039,2.421,28.5485,3.28199,0.00195262,0.00195262,0.00195262
4,48.7304,2.39899,3.98738,2.51091,0.00216,0.04167,0.00159,0.00041,2.29542,341.224,5.6049,0.0019406,0.0019406,0.0019406
5,60.6898,2.46303,3.78818,2.43923,0.00393,0.59722,0.01125,0.00239,2.26447,21.4489,2.44693,0.0019208,0.0019208,0.0019208
6,72.6751,2.37473,3.85168,2.35001,0.00168,0.79167,0.01225,0.00311,2.05356,17.3968,2.16356,0.001901,0.001901,0.001901
7,84.6173,2.398,3.67308,2.49675,0.0016,0.76389,0.02076,0.00502,2.29533,8.61076,2.26769,0.0018812,0.0018812,0.0018812
8,96.5968,2.44944,3.67612,2.46159,0.00274,0.83333,0.04422,0.0103,2.09088,4.97926,2.03129,0.0018614,0.0018614,0.0018614
9,108.557,2.32708,3.30988,2.33831,0.00611,0.73611,0.04073,0.00961,2.04912,4.61177,2.02417,0.0018416,0.0018416,0.0018416
10,120.529,2.30435,3.49382,2.28467,0.00232,0.77778,0.0194,0.00447,2.14526,6.60742,2.20348,0.0018218,0.0018218,0.0018218
11,132.522,2.35681,3.4295,2.31227,0.007,0.79167,0.02525,0.0062,2.07647,3.71002,2.00856,0.001802,0.001802,0.001802
12,144.462,2.31133,3.33283,2.27138,0.00273,0.79167,0.01859,0.00519,2.02238,5.77511,2.02769,0.0017822,0.0017822,0.0017822
13,156.423,2.27172,3.35738,2.29161,0.0134,0.5,0.02832,0.00691,1.99191,4.94992,2.01193,0.0017624,0.0017624,0.0017624
14,168.395,2.25625,3.24365,2.27572,0.03518,0.5,0.06079,0.01304,1.99741,3.12701,1.95604,0.0017426,0.0017426,0.0017426
15,180.36,2.26332,3.24516,2.23482,0.00994,0.59722,0.03211,0.00791,2.01478,3.32348,2.00269,0.0017228,0.0017228,0.0017228
16,192.361,2.32418,3.26675,2.31545,0.04473,0.26389,0.0353,0.01089,2.22483,5.15171,2.22477,0.001703,0.001703,0.001703
17,204.33,2.17346,3.21272,2.22195,0.10243,0.20833,0.07286,0.02548,1.97649,4.18527,1.99321,0.0016832,0.0016832,0.0016832
18,216.315,2.19809,3.07529,2.24533,0.04562,0.33333,0.05299,0.01701,1.88271,5.11045,1.96143,0.0016634,0.0016634,0.0016634
19,228.3,2.20025,3.0677,2.22479,0.04324,0.58333,0.06968,0.02077,1.9028,3.56781,1.91211,0.0016436,0.0016436,0.0016436
20,240.302,2.23237,3.03993,2.23412,0.03624,0.34722,0.03984,0.01246,1.94918,3.11286,1.967,0.0016238,0.0016238,0.0016238
21,252.303,2.21257,3.12476,2.2501,0.08157,0.29167,0.0745,0.01857,1.91071,3.02748,1.92842,0.001604,0.001604,0.001604
22,264.259,2.16073,3.19221,2.19669,0.01894,0.59722,0.05006,0.01137,1.89838,3.17311,1.97788,0.0015842,0.0015842,0.0015842
23,276.281,2.23524,3.12359,2.28547,0.05661,0.22222,0.07354,0.01612,2.11069,4.47977,2.06139,0.0015644,0.0015644,0.0015644
24,288.254,2.12985,3.17848,2.20445,0.05606,0.16667,0.04046,0.01248,1.99987,2.9622,1.98285,0.0015446,0.0015446,0.0015446
25,300.275,2.10652,3.02035,2.16289,0.03406,0.43056,0.05217,0.01672,1.88372,3.41394,1.91464,0.0015248,0.0015248,0.0015248
26,312.309,2.14554,3.01633,2.18833,0.08338,0.16667,0.04854,0.01191,1.99977,3.79972,1.97519,0.001505,0.001505,0.001505
27,324.327,2.15148,2.9684,2.16506,0.10404,0.22222,0.06935,0.01987,1.95186,2.51216,1.94019,0.0014852,0.0014852,0.0014852
28,336.353,2.12883,3.03371,2.14833,0.07547,0.33333,0.08048,0.02148,1.93732,3.09835,1.94694,0.0014654,0.0014654,0.0014654
29,348.38,2.1746,2.97532,2.19606,0.10418,0.30556,0.08933,0.02339,1.84934,2.78691,1.92316,0.0014456,0.0014456,0.0014456
30,360.434,2.10123,2.84881,2.15741,0.09476,0.40278,0.08118,0.022,1.89656,2.90617,1.92892,0.0014258,0.0014258,0.0014258
31,372.426,2.09892,3.06733,2.15467,0.0524,0.41667,0.05636,0.01594,2.18766,2.97378,2.19528,0.001406,0.001406,0.001406
32,384.471,2.12647,3.01582,2.13773,0.05796,0.48611,0.10617,0.03111,1.8934,2.89748,1.90206,0.0013862,0.0013862,0.0013862
33,396.519,2.0445,2.80178,2.09845,0.09558,0.27778,0.06787,0.02141,1.82449,2.56818,1.87511,0.0013664,0.0013664,0.0013664
34,408.542,2.02328,2.80836,2.08313,0.15665,0.11111,0.07792,0.02169,1.9261,2.61594,1.92342,0.0013466,0.0013466,0.0013466
35,420.525,2.09294,2.87194,2.1135,0.13512,0.19444,0.08126,0.02255,1.83313,3.02939,1.87585,0.0013268,0.0013268,0.0013268
36,432.542,2.09241,2.78814,2.13345,0.12534,0.22222,0.08735,0.02616,1.88368,2.58077,1.95126,0.001307,0.001307,0.001307
37,444.621,2.03429,2.71931,2.08744,0.20154,0.25,0.1073,0.0291,1.90919,2.41858,1.95406,0.0012872,0.0012872,0.0012872
38,456.655,2.07608,2.77128,2.08503,0.21192,0.26389,0.1192,0.04366,1.82986,2.3694,1.87509,0.0012674,0.0012674,0.0012674
39,468.701,2.02993,2.62586,2.04555,0.16211,0.23611,0.1087,0.03088,1.88383,2.38433,1.94487,0.0012476,0.0012476,0.0012476
40,480.744,2.06793,2.71612,2.0495,0.08268,0.20833,0.05856,0.01507,2.14875,3.11277,2.07121,0.0012278,0.0012278,0.0012278
41,492.776,2.04293,2.66939,2.03971,0.10565,0.16667,0.08498,0.02065,1.99675,2.70076,1.94915,0.001208,0.001208,0.001208
42,504.787,2.02548,2.72801,2.03224,0.13729,0.30556,0.11243,0.03221,1.88701,2.39558,1.91715,0.0011882,0.0011882,0.0011882
43,516.822,2.02536,2.69297,2.03601,0.13156,0.25,0.10567,0.02825,1.99276,2.56978,1.99371,0.0011684,0.0011684,0.0011684
44,528.857,2.02034,2.67313,2.03452,0.23357,0.16091,0.10691,0.03077,1.92935,2.36823,1.94103,0.0011486,0.0011486,0.0011486
45,540.901,2.05547,2.60117,2.05658,0.20137,0.27778,0.10123,0.0345,1.79926,2.35718,1.82834,0.0011288,0.0011288,0.0011288
46,553.009,1.99734,2.6253,2.01326,0.18973,0.31944,0.1575,0.04303,1.9333,2.88219,1.91128,0.001109,0.001109,0.001109
47,565.1,2.01234,2.72324,2.01609,0.19483,0.29167,0.16241,0.04616,1.8371,2.39673,1.80417,0.0010892,0.0010892,0.0010892
48,577.168,1.98506,2.6062,2.02135,0.16044,0.27605,0.13843,0.04419,1.83655,2.32261,1.77946,0.0010694,0.0010694,0.0010694
49,589.194,1.97022,2.55291,2.017,0.16068,0.20833,0.1187,0.03726,1.8575,2.23586,1.86531,0.0010496,0.0010496,0.0010496
50,601.25,1.92033,2.62616,1.99826,0.17232,0.25,0.12913,0.03663,1.85165,2.43119,1.89556,0.0010298,0.0010298,0.0010298
51,613.283,2.00794,2.57676,2.01016,0.21646,0.27778,0.16131,0.04707,1.78632,2.21668,1.8388,0.00101,0.00101,0.00101
52,625.359,1.9862,2.63776,2.01421,0.18296,0.29167,0.12359,0.03557,1.83854,2.33015,1.85992,0.0009902,0.0009902,0.0009902
53,637.358,2.02093,2.60303,2.0527,0.17178,0.38889,0.13661,0.03517,1.92585,2.40085,1.94118,0.0009704,0.0009704,0.0009704
54,649.374,2.01913,2.5921,2.06554,0.15149,0.40278,0.12206,0.03758,1.83458,2.63136,1.83742,0.0009506,0.0009506,0.0009506
55,661.426,1.94201,2.4742,1.98312,0.17613,0.23611,0.16079,0.04599,1.87708,2.10474,1.87714,0.0009308,0.0009308,0.0009308
56,673.441,1.92364,2.45351,1.96549,0.26877,0.28081,0.18418,0.0536,1.81628,2.35287,1.84225,0.000911,0.000911,0.000911
57,685.493,1.92714,2.46038,1.96198,0.25199,0.29167,0.21334,0.05433,1.84952,2.22747,1.9213,0.0008912,0.0008912,0.0008912
58,697.546,1.89523,2.437,1.92085,0.20069,0.33333,0.17637,0.05798,1.76847,2.27813,1.86564,0.0008714,0.0008714,0.0008714
59,709.594,1.93506,2.35549,1.95207,0.24546,0.30556,0.14467,0.04798,1.78181,2.10811,1.83065,0.0008516,0.0008516,0.0008516
60,721.606,1.88704,2.33038,1.94025,0.23829,0.31944,0.16009,0.04902,1.80047,2.28897,1.86981,0.0008318,0.0008318,0.0008318
61,733.617,1.94843,2.35593,1.96897,0.19634,0.34722,0.21238,0.06917,1.80778,2.53031,1.84347,0.000812,0.000812,0.000812
62,745.632,1.86733,2.47124,1.93246,0.24978,0.27778,0.1936,0.06003,1.83285,2.12876,1.87663,0.0007922,0.0007922,0.0007922
63,757.666,1.87985,2.28573,1.90771,0.23179,0.29167,0.14605,0.0482,1.83459,2.10767,1.85833,0.0007724,0.0007724,0.0007724
64,769.73,1.9392,2.40257,1.93396,0.20686,0.36111,0.17912,0.05689,1.90076,2.07392,1.89981,0.0007526,0.0007526,0.0007526
65,781.734,1.83113,2.27026,1.84039,0.22783,0.31944,0.16937,0.04713,1.88132,2.19027,1.89918,0.0007328,0.0007328,0.0007328
66,793.793,1.91231,2.35429,1.87799,0.19588,0.29098,0.14388,0.04545,1.87702,2.31521,1.89984,0.000713,0.000713,0.000713
67,805.84,1.90649,2.34092,1.93248,0.24662,0.29555,0.17599,0.04533,1.8648,2.25716,1.89227,0.0006932,0.0006932,0.0006932
68,817.846,1.8441,2.39318,1.86329,0.21623,0.22222,0.1554,0.04517,1.8449,2.23141,1.85999,0.0006734,0.0006734,0.0006734
69,829.866,1.86969,2.21144,1.89187,0.20298,0.30556,0.13538,0.04696,1.90914,2.21064,1.86523,0.0006536,0.0006536,0.0006536
70,841.881,1.8792,2.35559,1.89607,0.23732,0.33333,0.19301,0.06506,1.87017,2.05619,1.88645,0.0006338,0.0006338,0.0006338
71,853.92,1.82728,2.19104,1.85314,0.28308,0.31944,0.22614,0.06163,1.87405,2.18966,1.86591,0.000614,0.000614,0.000614
72,865.978,1.84104,2.18707,1.87474,0.19515,0.25,0.15083,0.04766,1.8636,2.30797,1.85563,0.0005942,0.0005942,0.0005942
73,878.037,1.84195,2.41688,1.844,0.21293,0.26389,0.16104,0.05442,1.85324,2.16071,1.91215,0.0005744,0.0005744,0.0005744
74,890.063,1.84638,2.19022,1.86159,0.22274,0.36111,0.1556,0.04622,1.87819,2.00445,1.92171,0.0005546,0.0005546,0.0005546
75,902.067,1.82171,2.17517,1.85749,0.18195,0.25,0.12156,0.04436,1.87843,2.14508,1.92776,0.0005348,0.0005348,0.0005348
76,914.081,1.85081,2.2212,1.85591,0.25892,0.38889,0.1725,0.04828,1.83933,2.11443,1.89636,0.000515,0.000515,0.000515
77,926.135,1.80759,2.24257,1.83594,0.27372,0.30556,0.18623,0.055,1.8819,2.11019,1.93438,0.0004952,0.0004952,0.0004952
78,938.148,1.82637,2.19946,1.88134,0.19438,0.27778,0.12587,0.04102,1.85881,2.19101,1.92039,0.0004754,0.0004754,0.0004754
79,950.187,1.81447,2.10363,1.85132,0.2647,0.31999,0.17464,0.04998,1.88103,2.07291,1.91011,0.0004556,0.0004556,0.0004556
80,962.222,1.77916,2.04217,1.81447,0.2685,0.38889,0.16188,0.04654,1.87246,2.28283,1.92964,0.0004358,0.0004358,0.0004358
81,974.225,1.77389,2.16479,1.7979,0.23159,0.34722,0.17047,0.04553,1.90318,2.15487,1.90282,0.000416,0.000416,0.000416
82,986.239,1.77662,2.05697,1.78816,0.21603,0.27778,0.15503,0.04902,1.86118,2.17903,1.87904,0.0003962,0.0003962,0.0003962
83,998.26,1.7367,1.93546,1.76226,0.25175,0.33648,0.17338,0.0553,1.87053,2.13459,1.88784,0.0003764,0.0003764,0.0003764
84,1010.32,1.7198,2.00228,1.75085,0.23035,0.31944,0.1662,0.04784,1.85559,2.08076,1.85677,0.0003566,0.0003566,0.0003566
85,1022.34,1.76281,2.10928,1.78976,0.25002,0.31944,0.16699,0.05056,1.9391,2.14655,1.95968,0.0003368,0.0003368,0.0003368
86,1034.41,1.77605,2.01027,1.79098,0.22334,0.36111,0.16248,0.05166,1.905,2.08944,1.93651,0.000317,0.000317,0.000317
87,1046.44,1.75933,2.09209,1.77761,0.2289,0.38889,0.15826,0.05037,1.91636,2.15244,1.96657,0.0002972,0.0002972,0.0002972
88,1058.45,1.73229,1.95017,1.76457,0.24237,0.38889,0.16892,0.04941,1.91937,2.05686,1.99128,0.0002774,0.0002774,0.0002774
89,1070.49,1.76862,1.99219,1.79837,0.25368,0.375,0.16173,0.04831,1.92697,2.08761,1.96551,0.0002576,0.0002576,0.0002576
90,1082.57,1.72151,1.91478,1.764,0.19901,0.36111,0.15643,0.04518,1.95115,2.13008,1.96258,0.0002378,0.0002378,0.0002378
91,1094.86,1.76506,2.08572,1.79616,0.34581,0.30556,0.20472,0.05598,1.89357,2.3058,1.9173,0.000218,0.000218,0.000218
92,1106.88,1.77486,1.92342,1.81327,0.24256,0.41366,0.18059,0.05088,1.9145,2.13718,1.95807,0.0001982,0.0001982,0.0001982
93,1118.81,1.66817,1.82367,1.73194,0.27373,0.375,0.20682,0.06371,1.89277,2.07804,1.94249,0.0001784,0.0001784,0.0001784
94,1130.77,1.66887,1.81333,1.71349,0.25871,0.375,0.19903,0.06209,1.94076,2.02834,1.97233,0.0001586,0.0001586,0.0001586
95,1142.78,1.66721,1.75785,1.73937,0.31906,0.375,0.20892,0.06829,1.91701,2.03802,1.95476,0.0001388,0.0001388,0.0001388
96,1154.79,1.67681,1.72406,1.73127,0.30398,0.375,0.2077,0.06179,1.91265,2.06215,1.9518,0.000119,0.000119,0.000119
97,1166.77,1.71194,1.7101,1.77806,0.35182,0.33333,0.2226,0.06314,1.91653,2.0451,1.98343,9.92e-05,9.92e-05,9.92e-05
98,1178.71,1.59684,1.69688,1.70316,0.33948,0.35695,0.20906,0.06364,1.94566,2.05934,2.01359,7.94e-05,7.94e-05,7.94e-05
99,1190.69,1.63641,1.70515,1.73349,0.33129,0.36111,0.20287,0.06242,1.9415,2.05935,2.01422,5.96e-05,5.96e-05,5.96e-05
100,1202.68,1.71052,1.66886,1.77162,0.33793,0.34722,0.1994,0.06029,1.93872,2.01928,2.01713,3.98e-05,3.98e-05,3.98e-05
