epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7806,2.33224,6.71253,2.36447,0.0017,0.81944,0.00766,0.0019,1.91535,16.7992,2.3093,0.00065873,0.00065873,0.00065873
2,24.8335,2.37616,4.77121,2.45942,0.00172,0.83333,0.02112,0.00437,2.08719,12.2527,2.37136,0.00131228,0.00131228,0.00131228
3,36.8054,2.41722,4.08798,2.5802,0.00083,0.40278,0.00078,0.0002,2.86736,10.1946,8.77397,0.00195262,0.00195262,0.00195262
4,48.7883,2.36825,3.77077,2.49977,0.02958,0.02778,0.01009,0.00216,2.29437,12.1229,2.4496,0.0019406,0.0019406,0.0019406
5,60.7637,2.38361,3.71899,2.4427,0.00139,0.66667,0.00658,0.00153,2.49045,8.38985,2.51775,0.0019208,0.0019208,0.0019208
6,72.7519,2.34149,3.84383,2.40508,0.00138,0.65278,0.00402,0.00106,2.36873,12.8826,2.48633,0.001901,0.001901,0.001901
7,84.7292,2.37858,3.50892,2.38725,0.01355,0.01969,0.00803,0.00241,1.99588,8.19539,2.03928,0.0018812,0.0018812,0.0018812
8,96.7558,2.41041,3.54577,2.45991,0.00573,0.68056,0.01971,0.00506,2.15428,7.11655,2.21995,0.0018614,0.0018614,0.0018614
9,108.709,2.28085,3.27678,2.37719,0.00237,0.47222,0.00228,0.00059,2.38493,25.863,6.34143,0.0018416,0.0018416,0.0018416
10,120.664,2.33893,3.36426,2.3516,0.03223,0.40278,0.0561,0.01422,1.99017,5.73266,2.04133,0.0018218,0.0018218,0.0018218
11,132.63,2.31141,3.2694,2.35072,0.01866,0.54167,0.03362,0.00764,1.99795,4.7303,2.05344,0.001802,0.001802,0.001802
12,144.606,2.31825,3.24329,2.29247,0.11944,0.23611,0.07566,0.01615,2.05615,6.50572,2.12405,0.0017822,0.0017822,0.0017822
13,156.605,2.19179,3.17331,2.25065,0.04739,0.20833,0.02712,0.00707,2.08254,6.20688,2.13235,0.0017624,0.0017624,0.0017624
14,168.567,2.23048,3.06362,2.28534,0.0778,0.38889,0.07288,0.02021,1.92361,4.28682,1.97256,0.0017426,0.0017426,0.0017426
15,180.561,2.20442,3.02712,2.26001,0.05212,0.44444,0.05312,0.01442,1.91257,7.85829,2.03377,0.0017228,0.0017228,0.0017228
16,192.517,2.30199,3.02803,2.3152,0.06852,0.16667,0.03917,0.01104,1.96686,3.2082,1.97268,0.001703,0.001703,0.001703
17,204.469,2.18926,2.93675,2.17973,0.21468,0.13889,0.0976,0.02335,1.8924,3.02847,1.95026,0.0016832,0.0016832,0.0016832
18,216.502,2.1802,2.88255,2.20194,0.08981,0.29167,0.07305,0.01763,1.88638,3.58854,1.9587,0.0016634,0.0016634,0.0016634
19,228.531,2.14903,2.87626,2.16123,0.12646,0.23611,0.06465,0.01876,1.90937,3.67492,1.95026,0.0016436,0.0016436,0.0016436
20,240.532,2.20953,2.87186,2.18469,0.05893,0.375,0.06781,0.02024,1.89226,4.28709,1.96769,0.0016238,0.0016238,0.0016238
21,252.525,2.14393,2.87573,2.17682,0.12132,0.22222,0.08202,0.02256,1.9273,2.71758,1.98004,0.001604,0.001604,0.001604
22,264.503,2.14097,2.97922,2.19579,0.14558,0.19444,0.11741,0.03284,1.95195,3.01647,2.07468,0.0015842,0.0015842,0.0015842
23,276.527,2.16296,2.85356,2.17594,0.19511,0.22222,0.10145,0.02697,1.97271,2.84395,1.96193,0.0015644,0.0015644,0.0015644
