epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3149,2.33668,5.65929,2.32303,0.00121,0.58025,0.01856,0.00352,2.17442,11.496,2.69116,0.00065942,0.00065942,0.00065942
2,26.4984,2.31945,4.79167,2.40138,0.00167,0.80247,0.0144,0.00339,2.19662,7.26552,2.32204,0.00131296,0.00131296,0.00131296
3,39.7039,2.43447,3.9818,2.52831,0.04053,0.07407,0.01471,0.00375,2.13595,28.386,3.46115,0.0019533,0.0019533,0.0019533
4,52.8685,2.44528,3.74707,2.47381,0.00184,0.77778,0.00831,0.00216,2.24312,6.31775,2.31445,0.0019406,0.0019406,0.0019406
5,66.0472,2.41301,3.96612,2.53524,0.00258,0.81481,0.03659,0.00734,2.10649,4.98776,2.34829,0.0019208,0.0019208,0.0019208
6,79.2127,2.37488,3.78868,2.44851,0.00197,0.85185,0.01591,0.00374,1.94383,5.18957,2.09354,0.001901,0.001901,0.001901
7,92.3999,2.31974,3.49249,2.4146,0.00347,0.80247,0.01864,0.0043,2.17039,4.312,2.13045,0.0018812,0.0018812,0.0018812
8,105.57,2.36232,3.62776,2.41007,0.00238,0.74074,0.01634,0.00401,2.25013,5.29749,2.4107,0.0018614,0.0018614,0.0018614
9,118.724,2.41324,3.37896,2.37269,0.00278,0.87654,0.02622,0.00589,2.13587,6.99967,2.1433,0.0018416,0.0018416,0.0018416
10,131.869,2.3581,3.61167,2.45702,0.00894,0.54321,0.04215,0.00956,2.13485,3.30128,2.13201,0.0018218,0.0018218,0.0018218
11,145.053,2.22313,3.32689,2.32301,0.00517,0.82716,0.08668,0.02036,1.99849,3.53698,1.99477,0.001802,0.001802,0.001802
12,158.206,2.23827,3.24072,2.29095,0.0025,0.88889,0.06903,0.01368,1.98977,6.26693,2.03346,0.0017822,0.0017822,0.0017822
13,171.324,2.2143,3.43407,2.31558,0.00572,0.81481,0.0625,0.01726,2.02028,3.23192,2.06277,0.0017624,0.0017624,0.0017624
14,184.493,2.23303,3.29226,2.30014,0.01039,0.71605,0.03938,0.0111,2.01836,3.12579,1.99352,0.0017426,0.0017426,0.0017426
15,197.636,2.28768,3.21092,2.33015,0.03107,0.51852,0.07364,0.0157,1.94278,3.88877,2.01284,0.0017228,0.0017228,0.0017228
16,210.784,2.18974,3.19154,2.29651,0.04216,0.61728,0.08196,0.02229,1.98661,3.23702,2.04357,0.001703,0.001703,0.001703
17,223.94,2.19938,3.11588,2.24453,0.08208,0.39506,0.1088,0.02793,1.92334,3.42815,1.94073,0.0016832,0.0016832,0.0016832
18,237.095,2.19893,3.2518,2.2686,0.08562,0.41975,0.08233,0.02382,1.94377,3.6915,1.96881,0.0016634,0.0016634,0.0016634
19,250.224,2.19062,3.03343,2.22206,0.103,0.20988,0.06549,0.01671,2.04818,2.78146,1.98998,0.0016436,0.0016436,0.0016436
20,263.377,2.16052,3.2008,2.20984,0.01799,0.80247,0.0845,0.02415,1.91048,2.83267,1.93371,0.0016238,0.0016238,0.0016238
21,276.58,2.12561,3.01615,2.159,0.03453,0.55556,0.05224,0.01312,1.99265,3.46282,2.08186,0.001604,0.001604,0.001604
