epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3489,2.18703,6.14141,2.29484,0.00144,0.82258,0.02794,0.00576,2.52599,15.961,2.71524,0.00065873,0.00065873,0.00065873
2,24.4935,2.30882,4.92556,2.45,0.01028,0.09677,0.00385,0.00079,3.06205,57.2418,5.64244,0.00131228,0.00131228,0.00131228
3,36.599,2.50261,4.3504,2.56586,0.00082,0.46774,0.00075,0.00021,3.4416,22.5862,10.6175,0.00195262,0.00195262,0.00195262
4,48.7546,2.5027,3.98147,2.56271,0.10576,0.12903,0.03413,0.00679,2.43323,31.0043,2.97184,0.0019406,0.0019406,0.0019406
5,60.8884,2.52337,3.89989,2.49184,0.00111,0.62903,0.00996,0.0025,2.55063,7.53242,2.37535,0.0019208,0.0019208,0.0019208
6,73.0082,2.39272,3.78343,2.47405,0.00158,0.80645,0.02552,0.00572,2.18067,6.42172,2.36947,0.001901,0.001901,0.001901
7,85.0925,2.4206,3.61282,2.47602,0.01592,0.33871,0.02533,0.00633,2.47826,4.89472,2.77081,0.0018812,0.0018812,0.0018812
8,97.2116,2.42296,3.61972,2.46805,0.00192,0.79032,0.02121,0.0053,2.34772,6.15288,2.48681,0.0018614,0.0018614,0.0018614
9,109.287,2.3604,3.51069,2.42906,0.002,0.83871,0.01211,0.00346,2.14998,22.6821,2.51644,0.0018416,0.0018416,0.0018416
10,121.358,2.24268,3.46145,2.37048,0.00399,0.79032,0.02707,0.00695,2.10814,4.13262,2.27036,0.0018218,0.0018218,0.0018218
11,133.459,2.27082,3.46271,2.35702,0.00493,0.8871,0.05334,0.01265,2.18408,4.06322,2.23402,0.001802,0.001802,0.001802
12,145.537,2.26962,3.37348,2.38039,0.00365,0.90323,0.03188,0.00815,2.19924,5.58669,2.30545,0.0017822,0.0017822,0.0017822
