epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2925,2.28278,5.03458,2.37086,0.00134,0.76471,0.00911,0.00236,2.51739,7.59398,2.92531,0.00065942,0.00065942,0.00065942
2,26.5798,2.46659,4.26559,2.49686,0.00129,0.73529,0.00643,0.00119,2.8937,6.97153,3.66599,0.00131296,0.00131296,0.00131296
3,39.8608,2.41315,3.8635,2.47533,0.00527,0.01471,0.00226,0.0004,2.74907,17.6879,3.19076,0.0019533,0.0019533,0.0019533
4,53.1235,2.5156,3.72955,2.61933,0.04501,0.23529,0.02851,0.00827,2.67895,4.91677,3.03824,0.0019406,0.0019406,0.0019406
5,66.3839,2.42946,3.5309,2.54153,0.02252,0.32353,0.0202,0.00553,2.68661,4.2003,2.79296,0.0019208,0.0019208,0.0019208
6,79.5989,2.48205,3.4725,2.55717,0.00501,0.67647,0.05466,0.0124,2.37659,5.0577,2.56111,0.001901,0.001901,0.001901
7,92.8636,2.3681,3.35728,2.42884,0.01167,0.76471,0.04133,0.00783,2.34606,4.13813,2.41427,0.0018812,0.0018812,0.0018812
8,106.056,2.34694,3.3322,2.45887,0.03134,0.08824,0.04201,0.01072,2.72161,3.58963,3.58418,0.0018614,0.0018614,0.0018614
9,119.282,2.35364,3.17146,2.41038,0.00505,0.83824,0.01295,0.0035,2.22267,9.08604,2.33268,0.0018416,0.0018416,0.0018416
10,132.521,2.31929,3.29499,2.2972,0.00387,0.94118,0.03925,0.01092,2.16862,3.33214,2.26071,0.0018218,0.0018218,0.0018218
11,145.781,2.25157,3.29915,2.28473,0.01574,0.54412,0.08266,0.02487,2.16355,3.6386,2.30731,0.001802,0.001802,0.001802
12,159.084,2.23182,3.13863,2.28381,0.01617,0.77941,0.0478,0.01077,2.14792,5.00166,2.36619,0.0017822,0.0017822,0.0017822
13,172.319,2.25811,3.10852,2.34222,0.00974,0.77941,0.04605,0.01456,2.2457,2.98793,2.3211,0.0017624,0.0017624,0.0017624
14,185.553,2.29181,3.16254,2.3141,0.05379,0.10294,0.05631,0.01987,2.07266,6.24843,2.21652,0.0017426,0.0017426,0.0017426
15,198.772,2.22373,3.07999,2.28879,0.06852,0.11765,0.0637,0.01475,2.2778,3.20764,2.34415,0.0017228,0.0017228,0.0017228
16,211.946,2.22679,3.14883,2.23914,0.04524,0.69118,0.10692,0.02699,2.20955,2.70288,2.24062,0.001703,0.001703,0.001703
17,225.131,2.1735,3.0344,2.23038,0.02479,0.60294,0.1108,0.0387,2.15115,3.20344,2.23072,0.0016832,0.0016832,0.0016832
18,238.327,2.215,2.93517,2.25811,0.09518,0.35294,0.09415,0.0291,2.36551,2.88308,2.33036,0.0016634,0.0016634,0.0016634
19,251.564,2.16174,2.98306,2.19807,0.03398,0.73529,0.04895,0.01557,2.08534,4.63061,2.21955,0.0016436,0.0016436,0.0016436
20,264.717,2.20967,2.88923,2.21841,0.08412,0.44118,0.11469,0.03455,2.054,2.6085,2.10537,0.0016238,0.0016238,0.0016238
21,277.891,2.1793,2.92785,2.1958,0.09973,0.33824,0.0877,0.02902,2.02801,2.84937,2.10512,0.001604,0.001604,0.001604
22,291.105,2.1548,2.89982,2.21156,0.08728,0.41176,0.137,0.04048,1.98843,2.89657,2.14981,0.0015842,0.0015842,0.0015842
23,304.334,2.13174,2.83805,2.20481,0.16772,0.27941,0.17525,0.05368,2.18606,2.5992,2.23888,0.0015644,0.0015644,0.0015644
24,317.546,2.16927,2.88478,2.18166,0.04286,0.61765,0.10875,0.03225,2.19058,4.67425,2.24031,0.0015446,0.0015446,0.0015446
25,330.675,2.09603,2.94678,2.16149,0.1059,0.25,0.08325,0.028,2.06783,3.04947,2.14261,0.0015248,0.0015248,0.0015248
