epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3726,2.21186,6.24094,2.29307,0.09955,0.06944,0.03435,0.00759,2.43344,8.87577,2.78376,0.000659341,0.000659341,0.000659341
2,26.5519,2.41001,4.76769,2.51268,0.01787,0.01389,0.01125,0.00218,2.58534,6.85004,2.55715,0.00131288,0.00131288,0.00131288
3,39.7485,2.48353,4.14405,2.55959,0.01477,0.01389,0.00261,0.00074,3.1425,20.2248,4.24985,0.00195322,0.00195322,0.00195322
4,52.9299,2.52859,4.10899,2.50532,0.00134,0.72222,0.00174,0.00057,2.37484,9.59313,2.43496,0.0019406,0.0019406,0.0019406
5,66.0841,2.44609,3.80537,2.49782,0.00137,0.73611,0.0423,0.01038,2.43903,4.48662,2.45689,0.0019208,0.0019208,0.0019208
6,79.2205,2.37784,3.78947,2.59243,0.0019,0.875,0.024,0.00546,2.10851,4.26526,2.46025,0.001901,0.001901,0.001901
7,92.3988,2.40292,3.50883,2.58286,0.03692,0.02778,0.02002,0.00467,2.19717,4.80963,2.36035,0.0018812,0.0018812,0.0018812
8,105.534,2.34659,3.47702,2.48602,0.00211,0.88889,0.02988,0.00932,2.24144,4.54153,2.34319,0.0018614,0.0018614,0.0018614
9,118.663,2.32349,3.48399,2.41554,0.002,0.70833,0.03908,0.00913,2.58751,4.1268,2.51487,0.0018416,0.0018416,0.0018416
10,131.819,2.30281,3.5407,2.42637,0.01205,0.66667,0.03809,0.01074,2.14667,3.84555,2.28791,0.0018218,0.0018218,0.0018218
11,144.939,2.27548,3.41858,2.39351,0.00403,0.84722,0.05225,0.0131,2.22483,3.60361,2.39258,0.001802,0.001802,0.001802
12,158.045,2.21386,3.42951,2.35751,0.00495,0.77778,0.07974,0.02632,2.15104,3.17186,2.32983,0.0017822,0.0017822,0.0017822
13,171.208,2.27373,3.32465,2.3237,0.00523,0.81944,0.05084,0.01371,2.38862,4.06514,2.46414,0.0017624,0.0017624,0.0017624
14,184.326,2.26438,3.23266,2.35486,0.01053,0.75,0.04656,0.01322,2.20356,3.47604,2.31943,0.0017426,0.0017426,0.0017426
15,197.494,2.22819,3.18856,2.30029,0.06568,0.31944,0.08036,0.02175,2.15901,3.29037,2.33106,0.0017228,0.0017228,0.0017228
16,210.659,2.22372,3.19285,2.37388,0.03606,0.30556,0.03179,0.01011,2.14065,3.2764,2.35953,0.001703,0.001703,0.001703
17,223.785,2.24494,3.15651,2.36961,0.00685,0.86111,0.05613,0.01491,2.27908,3.10057,2.42978,0.0016832,0.0016832,0.0016832
18,236.922,2.17662,3.02934,2.23691,0.02866,0.63889,0.06114,0.01805,2.18974,2.8862,2.25329,0.0016634,0.0016634,0.0016634
19,250.094,2.20552,3.09766,2.28464,0.03846,0.59722,0.0919,0.02493,2.15137,3.2307,2.22783,0.0016436,0.0016436,0.0016436
20,263.239,2.15481,3.04756,2.26396,0.03986,0.59722,0.06993,0.01934,2.14183,2.86059,2.15521,0.0016238,0.0016238,0.0016238
21,276.42,2.16711,3.05617,2.26698,0.1091,0.36058,0.10968,0.03059,2.13101,3.16884,2.26195,0.001604,0.001604,0.001604
22,289.55,2.16428,2.90185,2.22499,0.04527,0.54167,0.11802,0.03354,2.13794,3.00811,2.13763,0.0015842,0.0015842,0.0015842
23,302.677,2.13669,3.07992,2.16863,0.07405,0.52778,0.10723,0.03378,2.10113,2.84913,2.09915,0.0015644,0.0015644,0.0015644
24,315.835,2.12649,2.9539,2.19016,0.06715,0.5,0.08049,0.02475,2.09427,3.0093,2.11844,0.0015446,0.0015446,0.0015446
25,328.935,2.09955,3.06701,2.18423,0.10289,0.33333,0.07383,0.02481,2.24398,3.00192,2.30989,0.0015248,0.0015248,0.0015248
26,342.075,2.08335,2.92746,2.20821,0.14315,0.13231,0.08381,0.02005,2.2694,2.90952,2.22589,0.001505,0.001505,0.001505
27,355.208,2.13939,2.92762,2.17763,0.09198,0.52778,0.15494,0.0419,2.12224,3.06806,2.21359,0.0014852,0.0014852,0.0014852
28,368.35,2.14131,3.00006,2.22978,0.1096,0.20833,0.0793,0.02419,2.16171,2.93944,2.1944,0.0014654,0.0014654,0.0014654
29,381.467,2.10931,2.9371,2.18379,0.15834,0.25,0.16183,0.04956,2.21586,2.63703,2.19429,0.0014456,0.0014456,0.0014456
30,394.643,2.11371,2.92962,2.20211,0.08027,0.48611,0.08713,0.02734,2.18781,3.07505,2.20742,0.0014258,0.0014258,0.0014258
31,407.735,2.04239,2.99241,2.14241,0.15139,0.18056,0.13177,0.03938,2.13102,2.86956,2.26017,0.001406,0.001406,0.001406
32,420.9,2.05129,2.92406,2.1317,0.15026,0.25,0.1502,0.05264,2.26718,2.57774,2.23876,0.0013862,0.0013862,0.0013862
33,434.088,2.10514,2.85954,2.14679,0.10723,0.22222,0.09087,0.02806,2.30295,2.65617,2.25135,0.0013664,0.0013664,0.0013664
34,447.205,2.05373,2.80936,2.13376,0.10593,0.44444,0.10461,0.02793,2.18759,2.99866,2.18083,0.0013466,0.0013466,0.0013466
35,460.347,2.0472,2.89945,2.17897,0.19876,0.41347,0.16649,0.04838,2.26258,2.50183,2.18593,0.0013268,0.0013268,0.0013268
