epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6677,2.22152,6.34032,2.28627,0.00163,0.80769,0.01746,0.00392,2.12003,22.462,2.20138,0.000659341,0.000659341,0.000659341
2,26.7412,2.42494,5.02251,2.46967,0.00116,0.57692,0.00109,0.00033,2.56837,449.808,3.9506,0.00131288,0.00131288,0.00131288
3,39.7852,2.41478,4.05877,2.48891,0.00127,0.62821,0.00473,0.00097,2.58386,33.1427,2.65768,0.00195322,0.00195322,0.00195322
4,52.8232,2.43655,4.10838,2.55436,0.0016,0.79487,0.00905,0.0024,2.03139,15.718,2.21859,0.0019406,0.0019406,0.0019406
5,65.8651,2.41409,3.85366,2.5502,0.00142,0.70513,0.01112,0.00262,2.16292,8.43248,2.30452,0.0019208,0.0019208,0.0019208
6,78.928,2.29522,3.69264,2.42383,0.00175,0.79487,0.01825,0.00459,2.10947,12.2937,2.129,0.001901,0.001901,0.001901
7,91.9728,2.32872,3.49552,2.44919,0.0025,0.80769,0.02457,0.00503,2.17016,7.72542,2.43617,0.0018812,0.0018812,0.0018812
8,105.049,2.33687,3.53021,2.49024,0.00284,0.52564,0.00957,0.00244,2.55875,5.32223,2.43277,0.0018614,0.0018614,0.0018614
9,118.143,2.27535,3.42744,2.39798,0.00193,0.83333,0.01228,0.00299,2.03077,14.9671,2.16959,0.0018416,0.0018416,0.0018416
10,131.241,2.30495,3.30147,2.31998,0.00289,0.85897,0.0435,0.01002,2.18699,5.73132,2.11658,0.0018218,0.0018218,0.0018218
11,144.32,2.27676,3.40501,2.30929,0.00229,0.91026,0.03731,0.00769,1.93905,9.45215,2.0522,0.001802,0.001802,0.001802
12,157.379,2.31232,3.48191,2.34183,0.00862,0.62821,0.04142,0.00892,2.03823,4.30356,2.09994,0.0017822,0.0017822,0.0017822
13,170.456,2.24916,3.3178,2.30771,0.00434,0.79487,0.03525,0.00823,1.93634,15.0633,2.0752,0.0017624,0.0017624,0.0017624
14,183.567,2.2838,3.26635,2.34485,0.00819,0.79487,0.08776,0.02332,1.97524,5.67456,2.04451,0.0017426,0.0017426,0.0017426
15,196.69,2.21272,3.25013,2.31429,0.00394,0.87179,0.06219,0.01481,2.09683,5.31247,2.16352,0.0017228,0.0017228,0.0017228
16,209.748,2.19293,3.09019,2.27657,0.02557,0.58974,0.07327,0.02615,2.06645,4.33387,2.13544,0.001703,0.001703,0.001703
17,222.825,2.18067,3.06677,2.25269,0.03282,0.55128,0.07517,0.02177,2.00989,4.82227,2.0774,0.0016832,0.0016832,0.0016832
18,235.903,2.17763,3.05259,2.24783,0.04797,0.51282,0.08316,0.02191,2.01658,4.59381,2.0854,0.0016634,0.0016634,0.0016634
19,248.978,2.15781,3.17988,2.21797,0.07303,0.44872,0.08605,0.02774,1.934,3.63759,2.04859,0.0016436,0.0016436,0.0016436
20,262.042,2.16265,3.03824,2.25347,0.0857,0.4086,0.11394,0.03365,1.99363,3.6477,2.02997,0.0016238,0.0016238,0.0016238
21,275.128,2.22367,2.98453,2.22437,0.14122,0.15385,0.09688,0.02597,1.99352,3.58074,2.04719,0.001604,0.001604,0.001604
