# kfold5_geom_no_color_binary  (5 folds: fold_0, fold_1, fold_2, fold_3, fold_4)

# 1. AVERAGES ACROSS FOLDS  (mean ± std,  [min, max],  CI95 half)
  metric                  n     mean    ± std      min      max    CI95±
  sweep.conf_0.001.iog>=0.3_&_iop>=0.10.overall.recall           0.9724 ± 0.0170
  sweep.conf_0.001.iog>=0.3_&_iop>=0.10.overall.tp               112.6000 ± 10.8536
  sweep.conf_0.001.iog>=0.5.loc.mean_iog                         0.7855 ± 0.0176
  sweep.conf_0.001.iog>=0.5.loc.mean_iop                         0.6038 ± 0.0425
  sweep.conf_0.001.iog>=0.5.loc.mean_iou                         0.4961 ± 0.0279
  sweep.conf_0.001.iog>=0.5.loc.n                                111.6000 ± 9.8641
  sweep.conf_0.001.iog>=0.5.overall.f1                           0.0594 ± 0.0174
  sweep.conf_0.001.iog>=0.5.overall.fn                           4.2000 ± 3.0332
  sweep.conf_0.001.iog>=0.5.overall.fp                           3838.4000 ± 1352.2007
  sweep.conf_0.001.iog>=0.5.overall.precision                    0.0307 ± 0.0093
  sweep.conf_0.001.iog>=0.5.overall.recall                       0.9645 ± 0.0257
  sweep.conf_0.001.iog>=0.5.overall.tp                           111.6000 ± 9.8641
  sweep.conf_0.001.iou>=0.5.loc.mean_iog                         0.8124 ± 0.0177
  sweep.conf_0.001.iou>=0.5.loc.mean_iop                         0.7640 ± 0.0148
  sweep.conf_0.001.iou>=0.5.loc.mean_iou                         0.6302 ± 0.0108
  sweep.conf_0.001.iou>=0.5.loc.n                                90.4000 ± 5.5498
  sweep.conf_0.001.iou>=0.5.overall.f1                           0.0479 ± 0.0135
  sweep.conf_0.001.iou>=0.5.overall.fn                           25.4000 ± 7.9561
  sweep.conf_0.001.iou>=0.5.overall.fp                           3859.6000 ± 1349.2455
  sweep.conf_0.001.iou>=0.5.overall.precision                    0.0248 ± 0.0072
  sweep.conf_0.001.iou>=0.5.overall.recall                       0.7837 ± 0.0536
  sweep.conf_0.001.iou>=0.5.overall.tp                           90.4000 ± 5.5498
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.loc.mean_iog              0.7719 ± 0.0136
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.loc.mean_iop              0.6839 ± 0.0447
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.loc.mean_iou              0.5503 ± 0.0242
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.loc.n                     59.4000 ± 7.0214
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.f1                0.5714 ± 0.0519
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.fn                56.4000 ± 16.0406
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.fp                32.6000 ± 10.1637
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.precision         0.6523 ± 0.0547
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.recall            0.5189 ± 0.0936
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.tp                59.4000 ± 7.0214
  sweep.conf_0.25.iog>=0.5.loc.mean_iog                          0.8160 ± 0.0080
  sweep.conf_0.25.iog>=0.5.loc.mean_iop                          0.6880 ± 0.0414
  sweep.conf_0.25.iog>=0.5.loc.mean_iou                          0.5767 ± 0.0282
  sweep.conf_0.25.iog>=0.5.loc.n                                 54.6000 ± 6.2690
  sweep.conf_0.25.iog>=0.5.overall.fn                            61.2000 ± 14.5842
  sweep.conf_0.25.iog>=0.5.overall.fp                            37.4000 ± 10.6207
  sweep.conf_0.25.iog>=0.5.overall.tp                            54.6000 ± 6.2690
  sweep.conf_0.25.iou>=0.5.loc.mean_iog                          0.8325 ± 0.0173
  sweep.conf_0.25.iou>=0.5.loc.mean_iop                          0.7898 ± 0.0195
  sweep.conf_0.25.iou>=0.5.loc.mean_iou                          0.6641 ± 0.0165
  sweep.conf_0.25.iou>=0.5.loc.n                                 39.2000 ± 3.1937
  sweep.conf_0.25.iou>=0.5.overall.f1                            0.3788 ± 0.0408
  sweep.conf_0.25.iou>=0.5.overall.fn                            76.6000 ± 13.3342
  sweep.conf_0.25.iou>=0.5.overall.fp                            52.8000 ± 15.5145
  sweep.conf_0.25.iou>=0.5.overall.precision                     0.4354 ± 0.0725
  sweep.conf_0.25.iou>=0.5.overall.recall                        0.3422 ± 0.0533
  sweep.conf_0.25.iou>=0.5.overall.tp                            39.2000 ± 3.1937
  val_stock.map50_95                                             0.1052 ± 0.0275
  val_stock.precision                                            0.4954 ± 0.0847
  val_stock.recall                                               0.3378 ± 0.0555
