epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3062,2.26604,6.04354,2.37785,0.00179,0.83333,0.01128,0.00224,2.28529,18.1592,2.50086,0.00065942,0.00065942,0.00065942
2,26.575,2.35969,4.52893,2.54323,0.00144,0.66667,0.0028,0.00074,2.32094,12.2461,2.82543,0.00131296,0.00131296,0.00131296
3,39.8677,2.44461,4.18243,2.53697,0.01594,0.15476,0.00837,0.00197,2.519,34.7176,3.28351,0.0019533,0.0019533,0.0019533
4,53.0761,2.39636,3.85642,2.58444,0.0023,0.77381,0.00802,0.00221,2.22885,16.4537,2.69731,0.0019406,0.0019406,0.0019406
5,66.3121,2.31946,3.76925,2.55412,0.00153,0.67857,0.00577,0.00124,2.52986,6.09,2.57747,0.0019208,0.0019208,0.0019208
6,79.5058,2.38759,3.861,2.54211,0.04171,0.04762,0.01073,0.00234,2.31289,7.3816,2.55211,0.001901,0.001901,0.001901
7,92.6946,2.36173,3.52678,2.51811,0.00205,0.64286,0.01284,0.00459,2.1414,6.0847,2.36651,0.0018812,0.0018812,0.0018812
8,105.863,2.36424,3.63853,2.4421,0.00489,0.69048,0.04022,0.01142,2.18265,4.18438,2.2058,0.0018614,0.0018614,0.0018614
9,119.073,2.31445,3.35313,2.47237,0.03725,0.02381,0.03578,0.00969,2.10465,7.78142,2.22168,0.0018416,0.0018416,0.0018416
10,132.26,2.30428,3.57479,2.4435,0.00315,0.77381,0.02592,0.00588,2.13853,4.59349,2.30238,0.0018218,0.0018218,0.0018218
11,145.504,2.26822,3.39038,2.47614,0.00229,0.83333,0.03656,0.00949,2.21693,8.45796,2.40233,0.001802,0.001802,0.001802
12,158.714,2.24312,3.19036,2.43076,0.01753,0.45238,0.03704,0.013,2.20659,5.10452,2.47564,0.0017822,0.0017822,0.0017822
13,171.909,2.22274,3.37644,2.44078,0.03469,0.40476,0.0561,0.01673,2.09056,3.59011,2.28873,0.0017624,0.0017624,0.0017624
14,185.124,2.30736,3.22878,2.47454,0.01035,0.57143,0.02289,0.00633,2.07302,3.47095,2.14105,0.0017426,0.0017426,0.0017426
15,198.337,2.22205,3.12462,2.36483,0.00936,0.71429,0.04619,0.01427,2.06276,3.86875,2.22029,0.0017228,0.0017228,0.0017228
16,211.511,2.2421,3.12248,2.39164,0.05833,0.08333,0.04973,0.01676,2.07036,5.21957,2.2405,0.001703,0.001703,0.001703
17,224.702,2.20716,3.06357,2.34862,0.05166,0.40476,0.06217,0.02739,2.06451,3.07933,2.19593,0.0016832,0.0016832,0.0016832
18,237.91,2.19474,3.13547,2.34849,0.08164,0.22619,0.05259,0.01622,2.107,3.2919,2.30341,0.0016634,0.0016634,0.0016634
19,251.092,2.22304,3.04005,2.38684,0.10975,0.30952,0.10596,0.03384,2.04211,2.97996,2.1634,0.0016436,0.0016436,0.0016436
20,264.297,2.21123,3.23341,2.34099,0.04389,0.41667,0.08903,0.03515,2.08266,3.05444,2.26332,0.0016238,0.0016238,0.0016238
21,277.486,2.16169,2.97124,2.29514,0.06621,0.40476,0.1185,0.03426,1.97627,2.96561,2.13118,0.001604,0.001604,0.001604
22,290.655,2.10454,2.89855,2.23129,0.11337,0.10714,0.09093,0.02879,2.04449,3.56651,2.25449,0.0015842,0.0015842,0.0015842
23,303.828,2.11963,2.90709,2.2695,0.23257,0.22619,0.11205,0.03646,2.03267,3.15406,2.15485,0.0015644,0.0015644,0.0015644
24,317.04,2.11395,2.94453,2.27613,0.08491,0.36905,0.09272,0.02988,1.94035,3.0196,2.11711,0.0015446,0.0015446,0.0015446
25,330.236,2.11874,2.84812,2.26495,0.1097,0.2381,0.07898,0.02176,1.93987,2.95347,2.09177,0.0015248,0.0015248,0.0015248
26,343.434,2.12165,2.89251,2.30825,0.15022,0.25,0.1045,0.03297,1.96538,2.97477,2.12031,0.001505,0.001505,0.001505
27,356.649,2.10672,2.78441,2.23621,0.05858,0.39286,0.10547,0.04067,1.9362,3.75029,2.05328,0.0014852,0.0014852,0.0014852
28,369.829,2.09446,2.83868,2.25454,0.16759,0.35714,0.12518,0.03718,2.00746,2.7902,2.14406,0.0014654,0.0014654,0.0014654
29,383.044,2.11074,2.71958,2.24723,0.11861,0.32143,0.10423,0.0387,2.02121,2.9088,2.10652,0.0014456,0.0014456,0.0014456
30,396.274,2.05337,2.80271,2.21326,0.07956,0.14286,0.08591,0.03417,1.97828,4.92313,2.09213,0.0014258,0.0014258,0.0014258
31,409.494,2.04251,2.79504,2.23462,0.1121,0.32143,0.1206,0.03946,2.00593,3.12817,2.13382,0.001406,0.001406,0.001406
32,422.653,2.05505,2.77355,2.21878,0.08118,0.38095,0.09276,0.03371,2.02106,3.09826,2.18002,0.0013862,0.0013862,0.0013862
33,435.832,2.02154,2.76596,2.15029,0.14381,0.25,0.17058,0.05368,1.97394,2.74009,2.14984,0.0013664,0.0013664,0.0013664
34,449.053,2.06674,2.68876,2.20554,0.13578,0.32143,0.09898,0.03494,1.97954,3.11981,2.1223,0.0013466,0.0013466,0.0013466
35,462.252,2.0893,2.78222,2.22694,0.08577,0.46429,0.10462,0.03451,1.94387,3.94333,1.99144,0.0013268,0.0013268,0.0013268
36,475.417,2.11223,2.77853,2.21478,0.14641,0.42857,0.20094,0.06627,1.9224,2.80893,1.98234,0.001307,0.001307,0.001307
37,488.603,1.98163,2.83649,2.13851,0.18555,0.30952,0.185,0.05979,1.96111,2.51496,2.14088,0.0012872,0.0012872,0.0012872
